Timestamp,CameraID,CameraName,ObjectID,EventType,LineCount,PosX,PosY,Counted,AnomalyDetected,AnomalyType
2025-07-17 01:10:55,101,Camera 1,17,Bale Detected. Total: 1,1,564,NA,True,false,
2025-07-17 01:12:35,101,Camera 1,33,Bale Detected. Total: 2,2,703,NA,True,false,
2025-07-17 01:21:36,102,Camera 2,17,Bale Detected Moving Upward. Total: 1,1,NA,324,True,false,
2025-07-17 01:22:06,102,Camera 2,18,Bale Detected Moving Upward. Total: 2,2,NA,360,True,false,
2025-07-17 01:24:18,102,Camera 2,60,Bale Detected Moving Upward. Total: 3,3,NA,358,True,false,
2025-07-17 15:07:32,101,Camera 1,8,Bale Detected. Total: 1,1,565,308,True,false,
2025-07-17 15:09:38,101,Camera 1,22,Bale Detected. Total: 2,2,510,294,True,false,
2025-07-17 15:10:37,101,Camera 1,25,Bale Detected. Total: 3,3,618,255,True,false,
2025-07-17 15:11:46,101,Camera 1,35,Bale Detected. Total: 4,4,510,289,True,false,
2025-07-17 15:13:25,101,Camera 1,37,Bale Detected. Total: 5,5,543,331,True,false,
2025-07-17 15:14:41,101,Camera 1,41,Bale Detected. Total: 6,6,611,364,True,false,
2025-07-17 16:21:01,101,Camera 1,10,Bale Detected. Total: 1,1,386,253,True,false,
2025-07-17 16:21:41,101,Camera 1,19,Bale Detected. Total: 2,2,316,257,True,false,
2025-07-17 16:21:44,101,Camera 1,21,Bale Detected. Total: 3,3,320,237,True,false,
2025-07-17 16:22:17,101,Camera 1,30,Bale Detected. Total: 4,4,331,249,True,false,
2025-07-17 16:25:05,101,Camera 1,41,Bale Detected. Total: 5,5,344,229,True,false,
2025-07-17 16:27:51,101,Camera 1,46,Bale Detected. Total: 6,6,342,203,True,false,
2025-07-17 16:29:03,101,Camera 1,53,Bale Detected. Total: 7,7,301,192,True,false,
2025-07-17 16:29:59,101,Camera 1,58,Bale Detected. Total: 8,8,295,199,True,false,
2025-07-17 16:34:10,101,Camera 1,72,Bale Detected. Total: 9,9,343,208,True,false,
2025-07-17 16:34:39,101,Camera 1,75,Bale Detected. Total: 10,10,367,199,True,false,
2025-07-17 16:50:14,101,Camera 1,107,Bale Detected. Total: 11,11,225,271,True,false,
2025-07-17 23:40:36,101,Camera 1,106,Covered Bale Detected. Total: 1,1,386,105,True,true,Cotton Bale Wrap
2025-07-17 23:43:37,102,Camera 2,33,Covered Bale Detected. Total: 1,1,NA,313,True,true,Cotton Bale Wrap
2025-07-17 23:43:45,102,Camera 2,35,Covered Bale Detected. Total: 2,2,NA,312,True,true,Cotton Bale Wrap
2025-07-18 00:39:01,101,Camera 1,1,Bale Detected. Total: 1,1,348,242,True,false,
2025-07-18 00:42:30,101,Camera 1,31,Bale Detected. Total: 2,2,377,220,True,false,
2025-07-18 00:43:10,101,Camera 1,40,Bale Detected. Total: 3,3,327,214,True,false,
2025-07-18 00:43:40,101,Camera 1,50,Bale Detected. Total: 4,4,325,188,True,false,
2025-07-18 00:46:13,101,Camera 1,70,Bale Detected. Total: 5,5,371,214,True,false,
2025-07-18 00:46:59,101,Camera 1,75,Bale Detected. Total: 6,6,349,212,True,false,
2025-07-18 00:48:50,101,Camera 1,80,Bale Detected. Total: 7,7,227,223,True,false,
2025-07-18 00:54:55,102,Camera 2,5,Bale Detected. Total: 1,1,NA,254,True,false,
2025-07-18 00:55:15,102,Camera 2,6,Bale Detected. Total: 2,2,NA,301,True,false,
2025-07-18 01:02:06,102,Camera 2,8,Bale Detected. Total: 3,3,NA,313,True,false,
2025-07-18 01:02:40,102,Camera 2,13,Bale Detected. Total: 4,4,NA,283,True,false,
2025-07-18 01:07:13,102,Camera 2,6,Bale Detected. Total: 1,1,NA,272,True,false,
2025-07-18 01:07:29,102,Camera 2,7,Bale Detected. Total: 2,2,NA,345,True,false,
2025-07-18 01:11:05,102,Camera 2,12,Bale Detected. Total: 3,3,NA,353,True,false,
2025-07-18 01:13:30,102,Camera 2,25,Bale Detected. Total: 4,4,NA,237,True,false,
2025-07-18 01:47:30,101,Camera 1,250,Bale Detected. Total: 1,1,346,193,True,false,
2025-07-18 01:48:23,101,Camera 1,269,Bale Detected. Total: 2,2,341,206,True,false,
2025-07-18 01:48:49,101,Camera 1,275,Bale Detected. Total: 3,3,298,239,True,false,
2025-07-18 01:49:09,101,Camera 1,276,Bale Detected. Total: 4,4,349,240,True,false,
2025-07-18 01:50:38,101,Camera 1,325,Bale Detected. Total: 5,5,312,254,True,false,
2025-07-18 01:56:11,101,Camera 1,361,Bale Detected. Total: 6,6,374,196,True,false,
2025-07-18 01:57:28,101,Camera 1,377,Bale Detected. Total: 7,7,291,213,True,false,
2025-07-18 01:57:33,101,Camera 1,376,Bale Detected. Total: 8,8,356,212,True,false,
2025-07-18 01:58:31,101,Camera 1,399,Bale Detected. Total: 9,9,389,232,True,false,
2025-07-18 01:58:50,101,Camera 1,398,Bale Detected. Total: 10,10,350,257,True,false,
2025-07-18 01:59:46,101,Camera 1,431,Bale Detected. Total: 11,11,280,242,True,false,
2025-07-18 02:00:16,101,Camera 1,456,Bale Detected. Total: 12,12,335,200,True,false,
2025-07-18 02:02:30,101,Camera 1,489,Bale Detected. Total: 13,13,339,240,True,false,
2025-07-18 02:02:37,101,Camera 1,491,Bale Detected. Total: 14,14,355,185,True,false,
2025-07-18 02:03:43,101,Camera 1,497,Bale Detected. Total: 15,15,323,203,True,false,
2025-07-18 02:03:47,101,Camera 1,495,Bale Detected. Total: 16,16,380,236,True,false,
2025-07-18 02:05:19,101,Camera 1,510,Bale Detected. Total: 17,17,292,198,True,false,
2025-07-18 02:05:55,101,Camera 1,513,Bale Detected. Total: 18,18,341,167,True,false,
2025-07-18 02:33:10,102,Camera 2,1,Bale Detected. Total: 1,1,NA,355,True,false,
2025-07-18 02:33:58,102,Camera 2,4,Bale Detected. Total: 2,2,NA,119,True,false,
2025-07-18 02:34:30,102,Camera 2,8,Bale Detected. Total: 3,3,NA,263,True,false,
2025-07-18 02:35:07,102,Camera 2,12,Bale Detected. Total: 4,4,NA,356,True,false,
2025-07-18 02:35:11,102,Camera 2,15,Bale Detected. Total: 5,5,NA,222,True,false,
2025-07-18 02:35:55,102,Camera 2,18,Bale Detected. Total: 6,6,NA,282,True,false,
2025-07-18 02:35:59,102,Camera 2,22,Bale Detected. Total: 7,7,NA,255,True,false,
