Timestamp,CameraID,CameraName,ObjectID,EventType,LineCount,PosX,PosY,Counted,AnomalyDetected,AnomalyType
2025-07-17 01:10:55,101,Camera 1,17,Bale Detected. Total: 1,1,564,NA,True,false,
2025-07-17 01:12:35,101,Camera 1,33,Bale Detected. Total: 2,2,703,NA,True,false,
2025-07-17 01:21:36,102,Camera 2,17,Bale Detected Moving Upward. Total: 1,1,NA,324,True,false,
2025-07-17 01:22:06,102,Camera 2,18,Bale Detected Moving Upward. Total: 2,2,NA,360,True,false,
2025-07-17 01:24:18,102,Camera 2,60,Bale Detected Moving Upward. Total: 3,3,NA,358,True,false,
2025-07-17 14:42:10,101,Camera 1,12,Bale Detected. Total: 1,1,809,425,True,false,
2025-07-17 15:29:43,101,Camera 1,2,Bale Detected. Total: 1,1,666,328,True,false,
2025-07-17 15:31:09,101,Camera 1,1,Bale Detected. Total: 1,1,512,286,True,false,
2025-07-17 15:31:47,101,Camera 1,3,Bale Detected. Total: 2,2,453,320,True,false,
2025-07-17 15:38:13,101,Camera 1,59,Bale Detected. Total: 1,1,590,293,True,false,
2025-07-17 15:38:51,101,Camera 1,65,Bale Detected. Total: 2,2,495,285,True,false,
2025-07-17 15:39:37,101,Camera 1,73,Bale Detected. Total: 3,3,657,314,True,false,
2025-07-17 15:40:16,101,Camera 1,79,Bale Detected. Total: 4,4,562,313,True,false,
2025-07-17 18:51:08,102,Camera 2,6,Bale Detected. Total: 1,1,NA,350,True,false,
2025-07-17 18:51:28,102,Camera 2,1,Bale Detected. Total: 2,2,NA,114,True,false,
2025-07-17 18:52:22,102,Camera 2,14,Bale Detected. Total: 3,3,NA,62,True,false,
2025-07-17 19:11:43,102,Camera 2,1,Bale Detected Moving Upward. Total: 1,1,NA,291,True,false,
2025-07-17 19:14:35,102,Camera 2,10,Bale Detected Moving Upward. Total: 1,1,NA,284,True,false,
2025-07-17 19:14:52,102,Camera 2,19,Bale Detected Moving Upward. Total: 2,2,NA,315,True,false,
2025-07-17 19:14:55,102,Camera 2,23,Bale Detected Moving Upward. Total: 3,3,NA,318,True,false,
2025-07-18 00:12:46,101,Camera 1,2,Bale Detected. Total: 1,1,687,342,True,false,
2025-07-18 00:13:25,101,Camera 1,3,Bale Detected. Total: 2,2,646,329,True,false,
2025-07-18 00:17:33,101,Camera 1,10,Bale Detected. Total: 1,1,673,388,True,false,
2025-07-18 00:17:53,101,Camera 1,20,Bale Detected. Total: 2,2,631,373,True,false,
2025-07-18 00:18:13,101,Camera 1,26,Bale Detected. Total: 3,3,690,406,True,false,
2025-07-18 00:18:32,101,Camera 1,28,Bale Detected. Total: 4,4,515,340,True,false,
2025-07-18 00:18:52,101,Camera 1,32,Bale Detected. Total: 5,5,629,375,True,false,
2025-07-18 00:21:49,101,Camera 1,3,Bale Detected. Total: 1,1,NA,521,True,false,
2025-07-18 00:21:49,101,Camera 1,4,Covered Bale Detected. Total: 2,2,NA,520,True,true,Cotton Bale Wrap
2025-07-18 00:22:29,101,Camera 1,2,Bale Detected. Total: 1,1,553,353,True,false,
2025-07-18 00:22:48,101,Camera 1,7,Bale Detected. Total: 2,2,581,362,True,false,
2025-07-18 00:23:45,101,Camera 1,23,Bale Detected. Total: 3,3,661,378,True,false,
2025-07-18 00:24:05,101,Camera 1,29,Bale Detected. Total: 4,4,634,379,True,false,
2025-07-18 00:24:24,101,Camera 1,32,Bale Detected. Total: 5,5,659,395,True,false,
2025-07-18 00:24:44,101,Camera 1,37,Bale Detected. Total: 6,6,625,366,True,false,
2025-07-18 00:25:04,101,Camera 1,42,Bale Detected. Total: 7,7,544,345,True,false,
2025-07-18 00:25:23,101,Camera 1,47,Bale Detected. Total: 8,8,560,342,True,false,
2025-07-18 00:25:43,101,Camera 1,51,Bale Detected. Total: 9,9,628,370,True,false,
2025-07-18 00:27:01,101,Camera 1,7,Bale Detected. Total: 1,1,641,383,True,false,
2025-07-18 00:27:20,101,Camera 1,11,Bale Detected. Total: 2,2,685,393,True,false,
2025-07-18 00:27:58,101,Camera 1,21,Bale Detected. Total: 3,3,671,379,True,false,
2025-07-18 00:28:18,101,Camera 1,26,Bale Detected. Total: 4,4,685,391,True,false,
2025-07-18 00:29:37,101,Camera 1,4,Bale Detected. Total: 1,1,562,358,True,false,
2025-07-18 00:29:56,101,Camera 1,6,Bale Detected. Total: 2,2,546,347,True,false,
2025-07-18 00:30:15,101,Camera 1,14,Bale Detected. Total: 3,3,549,343,True,false,
2025-07-18 00:30:34,101,Camera 1,20,Bale Detected. Total: 4,4,667,376,True,false,
2025-07-18 00:30:54,101,Camera 1,24,Bale Detected. Total: 5,5,550,344,True,false,
2025-07-18 00:31:13,101,Camera 1,30,Bale Detected. Total: 6,6,534,335,True,false,
2025-07-18 00:31:52,101,Camera 1,33,Bale Detected. Total: 7,7,667,377,True,false,
2025-07-18 00:32:11,101,Camera 1,37,Bale Detected. Total: 8,8,580,349,True,false,
2025-07-18 00:32:31,101,Camera 1,44,Bale Detected. Total: 9,9,634,368,True,false,
2025-07-18 00:32:50,101,Camera 1,46,Bale Detected. Total: 10,10,562,348,True,false,
